Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 20 HeLa cells	Peptides Blank	Peptides Single cell 1	Peptides Single cell 2	Peptides Single cell 4	Peptides 100 HeLa cells	Peptides Single cell 3	Razor + unique peptides 20 HeLa cells	Razor + unique peptides Blank	Razor + unique peptides Single cell 1	Razor + unique peptides Single cell 2	Razor + unique peptides Single cell 4	Razor + unique peptides 100 HeLa cells	Razor + unique peptides Single cell 3	Unique peptides 20 HeLa cells	Unique peptides Blank	Unique peptides Single cell 1	Unique peptides Single cell 2	Unique peptides Single cell 4	Unique peptides 100 HeLa cells	Unique peptides Single cell 3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 20 HeLa cells	Identification type Blank	Identification type Single cell 1	Identification type Single cell 2	Identification type Single cell 4	Identification type 100 HeLa cells	Identification type Single cell 3	Sequence coverage 20 HeLa cells [%]	Sequence coverage Blank [%]	Sequence coverage Single cell 1 [%]	Sequence coverage Single cell 2 [%]	Sequence coverage Single cell 4 [%]	Sequence coverage 100 HeLa cells [%]	Sequence coverage Single cell 3 [%]	Intensity	Intensity 20 HeLa cells	Intensity Blank	Intensity Single cell 1	Intensity Single cell 2	Intensity Single cell 4	Intensity 100 HeLa cells	Intensity Single cell 3	iBAQ	iBAQ 20 HeLa cells	iBAQ Blank	iBAQ Single cell 1	iBAQ Single cell 2	iBAQ Single cell 4	iBAQ 100 HeLa cells	iBAQ Single cell 3	LFQ intensity 20 HeLa cells	LFQ intensity Blank	LFQ intensity Single cell 1	LFQ intensity Single cell 2	LFQ intensity Single cell 4	LFQ intensity 100 HeLa cells	LFQ intensity Single cell 3	MS/MS count 20 HeLa cells	MS/MS count Blank	MS/MS count Single cell 1	MS/MS count Single cell 2	MS/MS count Single cell 4	MS/MS count 100 HeLa cells	MS/MS count Single cell 3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P50995;P27216	P50995	5;1	5;1	5;1	Annexin A11	ANXA11	sp|P50995|ANX11_HUMAN Annexin A11 OS=Homo sapiens OX=9606 GN=ANXA11 PE=1 SV=1	2	5	5	5	1	0	0	0	1	5	0	1	0	0	0	1	5	0	1	0	0	0	1	5	0	11.5	11.5	11.5	54.389	505	505;316	0	11.933	By MS/MS				By matching	By MS/MS		1.8	0	0	0	1.8	11.5	0	6141800	158760	0	0	0	31609	5951400	0	279170	7216.5	0	0	0	1436.8	270520	0	0	0	0	0	0	900280	0	1	0	0	0	0	5	0	6				785	508;1475;7953;9388;9724	True;True;True;True;True	524;1517;8174;9639;9985	1666;4846;25355;25356;25357;29442;30465	1240;3590;18488;18489;21460;22203	1240;3590;18489;21460;22203		
P51114;P51116;Q06787	P51114;P51116	4;2;1	4;2;1	4;2;1	Fragile X mental retardation syndrome-related protein 1;Fragile X mental retardation syndrome-related protein 2	FXR1;FXR2	sp|P51114|FXR1_HUMAN Fragile X mental retardation syndrome-related protein 1 OS=Homo sapiens OX=9606 GN=FXR1 PE=1 SV=3;sp|P51116|FXR2_HUMAN Fragile X mental retardation syndrome-related protein 2 OS=Homo sapiens OX=9606 GN=FXR2 PE=1 SV=2	3	4	4	4	2	0	0	0	0	4	1	2	0	0	0	0	4	1	2	0	0	0	0	4	1	6	6	6	69.72	621	621;673;632	0	5.2613	By MS/MS					By MS/MS	By matching	2.9	0	0	0	0	6	1.3	4625200	448060	0	0	0	0	4076500	100620	125010	12110	0	0	0	0	110180	2719.4	552920	0	0	0	0	511800	0	1	0	0	0	0	4	0	5				786	4597;5342;6856;11367	True;True;True;True	4712;5481;7035;11666	14840;17164;17165;22063;22064;35779;35780	10865;12549;16039;26192;26193	10865;12549;16039;26193		
P51148;P61020	P51148	5;2	5;2	3;0	Ras-related protein Rab-5C	RAB5C	sp|P51148|RAB5C_HUMAN Ras-related protein Rab-5C OS=Homo sapiens OX=9606 GN=RAB5C PE=1 SV=2	2	5	5	3	3	0	1	2	3	5	0	3	0	1	2	3	5	0	2	0	0	1	2	3	0	28.7	28.7	18.5	23.482	216	216;215	0	21.626	By MS/MS		By matching	By matching	By MS/MS	By MS/MS		17.1	0	5.1	11.6	17.1	28.7	0	24141000	966890	0	45923	79656	258590	22790000	0	1724400	69063	0	3280.2	5689.7	18471	1627900	0	1048200	0	0	1558000	2834000	1215200	0	3	0	0	0	3	4	0	10				787	2832;3526;7221;7602;8165	True;True;True;True;True	2909;3618;7405;7812;8387	9330;11489;23320;23321;23322;23323;23324;24271;24272;24273;25917;25918;25919;25920	6796;8345;16956;16957;16958;17703;17704;17705;18896;18897;18898	6796;8345;16958;17704;18896		
P51149;Q2WGJ9;Q9HC10	P51149	9;1;1	9;1;1	9;1;1	Ras-related protein Rab-7a	RAB7A	sp|P51149|RAB7A_HUMAN Ras-related protein Rab-7a OS=Homo sapiens OX=9606 GN=RAB7A PE=1 SV=1	3	9	9	9	6	0	5	4	6	6	3	6	0	5	4	6	6	3	6	0	5	4	6	6	3	48.3	48.3	48.3	23.489	207	207;1857;1997	0	39.38	By MS/MS		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	34.3	0	25.1	20.3	36.2	29	13.5	23966000	4111600	0	252860	367050	976530	18069000	188380	1409800	241860	0	14874	21591	57443	1062900	11081	2802400	0	3990200	3264000	3319700	3841600	3319800	4	0	1	0	4	5	1	15				788	1814;2034;3113;4542;7819;8254;8736;10685;11351	True;True;True;True;True;True;True;True;True	1865;2089;3193;4657;8036;8479;8971;10970;11648	6036;6037;6038;6763;6764;6765;6766;10165;10166;14667;14668;14669;14670;14671;24957;24958;24959;24960;24961;24962;26166;26167;27566;33555;35708;35709;35710;35711;35712;35713;35714	4405;4926;7423;10741;10742;18193;18194;18195;19080;20094;24504;26142;26143;26144;26145;26146	4405;4926;7423;10742;18195;19080;20094;24504;26146		
P51452	P51452	2	2	2	Dual specificity protein phosphatase 3	DUSP3	sp|P51452|DUS3_HUMAN Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1	1	2	2	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	14.6	14.6	14.6	20.478	185	185	0.005872	1.5519						By MS/MS		0	0	0	0	0	14.6	0	1989900	0	0	0	0	0	1989900	0	198990	0	0	0	0	0	198990	0	0	0	0	0	0	301020	0	0	0	0	0	0	2	0	2				789	5360;6257	True;True	5499;6418	17206;20182	12584;14669	12584;14669		
P51570	P51570	3	3	3	Galactokinase	GALK1	sp|P51570|GALK1_HUMAN Galactokinase OS=Homo sapiens OX=9606 GN=GALK1 PE=1 SV=1	1	3	3	3	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	7.9	7.9	7.9	42.272	392	392	0	9.6928						By MS/MS		0	0	0	0	0	7.9	0	11625000	0	0	0	0	0	11625000	0	611850	0	0	0	0	0	611850	0	0	0	0	0	0	1758500	0	0	0	0	0	0	3	0	3				790	3585;9625;10129	True;True;True	3680;9884;10399	11659;30160;31731	8468;21978;23126	8468;21978;23126		
P51571	P51571	1	1	1	Translocon-associated protein subunit delta	SSR4	sp|P51571|SSRD_HUMAN Translocon-associated protein subunit delta OS=Homo sapiens OX=9606 GN=SSR4 PE=1 SV=1	1	1	1	1	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	11	11	11	18.998	173	173	0	8.8145	By MS/MS				By matching			11	0	0	0	11	0	0	971530	918690	0	0	0	52842	0	0	107950	102080	0	0	0	5871.3	0	0	0	0	0	0	223600	0	0	1	0	0	0	0	0	0	1				791	7815	TRUE	8032	24945;24946	18185	18185		
P51572	P51572	3	3	3	B-cell receptor-associated protein 31	BCAP31	sp|P51572|BAP31_HUMAN B-cell receptor-associated protein 31 OS=Homo sapiens OX=9606 GN=BCAP31 PE=1 SV=3	1	3	3	3	2	0	2	1	2	3	1	2	0	2	1	2	3	1	2	0	2	1	2	3	1	11.8	11.8	11.8	27.991	246	246	0	5.6328	By MS/MS		By matching	By matching	By MS/MS	By MS/MS	By matching	7.3	0	7.3	3.7	7.3	11.8	3.7	9283800	1280300	0	88890	76725	722410	6844600	270910	580240	80018	0	5555.6	4795.3	45150	427790	16932	1366000	0	1242500	0	2942900	1005300	0	2	0	0	0	2	3	0	7				792	314;5971;6791	True;True;True	325;6125;6967	1001;1002;1003;1004;19322;19323;19324;19325;19326;19327;21845	735;736;737;14044;14045;14046;15876	736;14045;15876		
P51610	P51610	1	1	1	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	HCFC1	sp|P51610|HCFC1_HUMAN Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1 PE=1 SV=2	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	0	1	0	1	0	1	1	0	0.8	0.8	0.8	208.73	2035	2035	0	3.7526	By MS/MS		By matching		By matching	By MS/MS		0.8	0	0.8	0	0.8	0.8	0	1755700	221810	0	82235	0	100670	1350900	0	21153	2672.5	0	990.79	0	1212.9	16276	0	0	0	0	0	0	204360	0	1	0	0	0	0	1	0	2				793	4493	TRUE	4608	14521;14522;14523;14524	10637;10638	10637		
P51648;P48448;P43353	P51648	3;1;1	2;0;0	2;0;0	Fatty aldehyde dehydrogenase	ALDH3A2	sp|P51648|AL3A2_HUMAN Fatty aldehyde dehydrogenase OS=Homo sapiens OX=9606 GN=ALDH3A2 PE=1 SV=1	3	3	2	2	2	0	0	0	2	2	0	1	0	0	0	1	2	0	1	0	0	0	1	2	0	7.8	5.4	5.4	54.847	485	485;385;468	0	4.4502	By MS/MS				By matching	By MS/MS		5.4	0	0	0	5.4	5.4	0	3397700	38779	0	0	0	32299	3326600	0	147730	1686.1	0	0	0	1404.3	144630	0	0	0	0	0	0	503220	0	0	0	0	0	0	3	0	3				794	2789;4278;4457	True;False;True	2862;4387;4572	9187;9188;9189;13844;13845;14400	6690;6691;6692;10110;10540	6691;10110;10540		
P51659	P51659	8	8	8	Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2	HSD17B4	sp|P51659|DHB4_HUMAN Peroxisomal multifunctional enzyme type 2 OS=Homo sapiens OX=9606 GN=HSD17B4 PE=1 SV=3	1	8	8	8	3	0	1	0	3	5	0	3	0	1	0	3	5	0	3	0	1	0	3	5	0	14	14	14	79.685	736	736	0	28.567	By MS/MS		By matching		By MS/MS	By MS/MS		5.8	0	2	0	5.4	8.6	0	5941800	907560	0	39538	0	238820	4755900	0	123790	18907	0	823.7	0	4975.3	99081	0	1014700	0	0	0	903450	0	0	3	0	0	0	2	5	0	10				795	1092;1228;4562;5135;6267;9751;11520;11960	True;True;True;True;True;True;True;True	1125;1262;4677;5267;6428;10015;11824;12276	3648;4087;14734;16531;20203;20204;30550;30551;30552;36282;37798;37799	2681;3025;10787;12070;14681;22264;22265;26572;27681;27682	2681;3025;10787;12070;14681;22265;26572;27682		
P51665	P51665	6	6	6	26S proteasome non-ATPase regulatory subunit 7	PSMD7	sp|P51665|PSMD7_HUMAN 26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2	1	6	6	6	5	0	0	0	2	5	0	5	0	0	0	2	5	0	5	0	0	0	2	5	0	21.3	21.3	21.3	37.025	324	324	0	43.673	By MS/MS				By matching	By MS/MS		18.2	0	0	0	5.2	16	0	7979900	2688300	0	0	0	163250	5128400	0	532000	179220	0	0	0	10884	341890	0	1783800	0	0	0	1527400	843760	0	5	0	0	0	0	4	0	9				796	1898;5239;5289;8069;9203;11994	True;True;True;True;True;True	1951;5377;5427;8291;9449;12310	6319;6320;6321;16856;16857;17004;25627;25628;25629;28890;28891;37888;37889	4612;4613;12322;12423;18693;18694;21048;27745;27746	4613;12322;12423;18693;21048;27746		
P51808	P51808	1	1	1	Dynein light chain Tctex-type 3	DYNLT3	sp|P51808|DYLT3_HUMAN Dynein light chain Tctex-type 3 OS=Homo sapiens OX=9606 GN=DYNLT3 PE=1 SV=1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	14.7	14.7	14.7	13.062	116	116	0	3.6818	By MS/MS				By matching	By MS/MS	By matching	14.7	0	0	0	14.7	14.7	14.7	2517800	208940	0	0	0	59322	2185100	64485	503570	41787	0	0	0	11864	437020	12897	0	0	0	0	0	0	332670	1	0	0	0	0	1	0	2				797	4143	TRUE	4251	13422;13423;13424;13425	9750;9751	9751		
P51857	P51857	1	1	1	3-oxo-5-beta-steroid 4-dehydrogenase	AKR1D1	sp|P51857|AK1D1_HUMAN 3-oxo-5-beta-steroid 4-dehydrogenase OS=Homo sapiens OX=9606 GN=AKR1D1 PE=1 SV=1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	2.8	2.8	2.8	37.376	326	326	0	3.4542	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2.8	0	2.8	2.8	2.8	2.8	2.8	23105000	2406000	0	68060	86544	2306400	17986000	251500	962700	100250	0	2835.8	3606	96099	749430	10479	0	0	0	0	0	0	1297500	1	0	0	1	1	1	1	5				798	9645	TRUE	9904	30226;30227;30228;30229;30230;30231	22029;22030;22031;22032;22033	22030		
P51858;Q9Y3E1	P51858	12;1	12;1	11;0	Hepatoma-derived growth factor	HDGF	sp|P51858|HDGF_HUMAN Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1	2	12	12	11	8	0	6	4	6	10	5	8	0	6	4	6	10	5	8	0	6	4	6	9	5	52.1	52.1	48.8	26.788	240	240;203	0	39.711	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	40	0	28.8	15.4	29.2	38.3	22.5	40219000	4392200	0	268090	272100	757730	34114000	414730	2365800	258360	0	15770	16006	44573	2006700	24396	3107000	0	3609400	5729500	3409500	3302900	3229200	9	0	0	1	3	11	1	25				799	1318;1728;1994;2008;2093;3509;4120;4526;7202;7203;7928;12467	True;True;True;True;True;True;True;True;True;True;True;True	1354;1776;2047;2048;2062;2148;3601;4228;4641;7386;7387;8147;12793	4364;4365;4366;4367;4368;4369;5734;5735;5736;5737;5738;5739;6632;6633;6634;6672;6923;6924;6925;11426;11427;11428;13365;14620;14621;14622;14623;14624;23230;23231;23232;23233;23234;23235;23236;23237;23238;23239;23240;25278;39198;39199;39200	3231;3232;3233;3234;4199;4200;4201;4839;4840;4864;5038;5039;8309;9707;10701;10702;16878;16879;16880;16881;16882;16883;16884;18427;28768	3232;4199;4839;4864;5039;8309;9707;10702;16878;16881;18427;28768	274	193
P51991	P51991	15	13	13	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3	sp|P51991|ROA3_HUMAN Heterogeneous nuclear ribonucleoprotein A3 OS=Homo sapiens OX=9606 GN=HNRNPA3 PE=1 SV=2	1	15	13	13	9	0	5	6	3	14	2	9	0	5	6	3	12	2	9	0	5	6	3	12	2	40.5	40.5	40.5	39.594	378	378	0	107.27	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.7	0	19	23.3	10.8	36.2	5.8	78265000	11735000	0	1162900	1510000	1642300	61803000	412490	3913300	586750	0	58147	75502	82116	3090100	20624	7277900	0	16485000	18944000	6918000	12585000	5184500	6	0	3	4	2	11	1	27				800	2136;2138;2520;2521;3412;3413;4630;4672;6163;7397;8858;8863;9887;12066;12314	True;True;False;False;True;True;True;True;True;True;True;True;True;True;True	2191;2193;2585;2586;3502;3503;4745;4788;6323;7586;9095;9100;10154;12382;12637	7064;7065;7066;7067;7068;7069;7070;7075;7076;7077;7078;8311;8312;11122;11123;11124;14922;14923;15059;19901;19902;19903;23837;23838;27924;27925;27939;27940;27941;27942;31012;31013;31014;31015;38052;38678;38679;38680;38681;38682;38683	5149;5150;5151;5152;5153;5154;5160;5161;6045;6046;8091;8092;10913;10997;14453;14454;17360;17361;20350;20351;20364;20365;22592;22593;27888;28371;28372;28373;28374;28375;28376	5149;5160;6045;6046;8091;8092;10913;10997;14453;17361;20351;20364;22593;27888;28371		
P52209	P52209	14	14	14	"6-phosphogluconate dehydrogenase, decarboxylating"	PGD	"sp|P52209|6PGD_HUMAN 6-phosphogluconate dehydrogenase, decarboxylating OS=Homo sapiens OX=9606 GN=PGD PE=1 SV=3"	1	14	14	14	13	0	3	2	7	11	5	13	0	3	2	7	11	5	13	0	3	2	7	11	5	34.6	34.6	34.6	53.139	483	483	0	89.54	By MS/MS		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	32.9	0	7.5	5.6	18.4	25.1	10.1	127670000	11740000	0	144040	97112	1689600	113160000	841300	4255600	391340	0	4801.2	3237.1	56320	3771900	28043	10855000	0	2842300	1899800	9186000	12892000	5989300	12	0	0	0	4	10	1	27				801	463;1975;3100;3640;4834;4852;8910;9271;9429;10405;10992;11277;11928;12287	True;True;True;True;True;True;True;True;True;True;True;True;True;True	478;2028;3180;3737;4953;4972;9147;9517;9682;10685;11282;11572;12243;12609;12610	1488;1489;1490;6568;6569;10140;11841;11842;11843;11844;11845;15620;15685;15686;28063;28064;29087;29088;29089;29577;29578;29579;32670;32671;32672;32673;32674;34573;34574;34575;34576;34577;34578;35457;35458;35459;37683;37684;37685;38602;38603;38604	1098;1099;4786;7407;8598;8599;8600;8601;11417;11468;11469;20462;20463;21196;21550;21551;23846;23847;23848;25267;25268;25269;25270;25948;25949;27604;28317;28318	1098;4786;7407;8600;11417;11469;20463;21196;21551;23847;25267;25949;27604;28318	275;276	142;340
P52272	P52272	23	23	23	Heterogeneous nuclear ribonucleoprotein M	HNRNPM	sp|P52272|HNRPM_HUMAN Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	1	23	23	23	9	0	9	8	8	20	11	9	0	9	8	8	20	11	9	0	9	8	8	20	11	33	33	33	77.515	730	730	0	116.88	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.3	0	16.3	13.2	15.3	28.4	18.2	140460000	4746400	0	627850	764420	1290800	131720000	1310900	2553800	86298	0	11416	13899	23469	2394900	23835	6588500	0	11277000	12222000	7711200	10380000	8087200	8	0	5	2	4	21	1	41				802	63;372;1698;2843;2847;2911;3056;3331;3797;5001;6230;6295;7353;7367;7391;7409;7410;7411;8295;11268;11270;11389;11390	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	64;384;1746;2920;2924;2989;3136;3421;3898;5130;6391;6456;7538;7553;7579;7599;7600;7601;8521;11563;11565;11690;11691	156;157;158;159;160;161;1169;1170;1171;1172;5608;5609;5610;5611;5612;5613;9358;9359;9360;9361;9362;9363;9371;9372;9574;9986;10890;10891;12396;12397;12398;12399;12400;16108;16109;16110;16111;20097;20280;20281;20282;20283;23757;23758;23775;23813;23853;23854;23855;23856;23857;26299;26300;26301;26302;26303;26304;35423;35424;35425;35426;35432;35433;35846;35847	121;122;123;124;125;856;4115;4116;4117;6815;6816;6817;6823;6966;7267;7916;8990;8991;8992;8993;8994;11771;11772;11773;11774;14600;14732;17294;17311;17343;17376;17377;17378;19184;19185;19186;25920;25921;25925;26243;26244	121;856;4115;6816;6823;6966;7267;7916;8990;11773;14600;14732;17294;17311;17343;17376;17377;17378;19184;25920;25925;26243;26244		
P52292	P52292	15	15	15	Importin subunit alpha-1	KPNA2	sp|P52292|IMA1_HUMAN Importin subunit alpha-1 OS=Homo sapiens OX=9606 GN=KPNA2 PE=1 SV=1	1	15	15	15	13	0	3	3	7	11	2	13	0	3	3	7	11	2	13	0	3	3	7	11	2	37.8	37.8	37.8	57.861	529	529	0	161.28	By MS/MS		By matching	By matching	By MS/MS	By MS/MS	By matching	34.2	0	8.1	8.1	17.8	25	4.2	50990000	7976000	0	126510	70728	468400	42194000	154400	2039600	319040	0	5060.4	2829.1	18736	1687800	6176	6203500	0	2260900	1516900	2931400	5843200	1085000	14	0	0	0	1	11	0	26				803	547;1010;2356;3232;3647;4567;4639;6549;7725;7792;7825;8013;8902;9965;10355	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	567;1042;2416;3319;3744;4682;4755;6715;7937;8004;8042;8235;9139;10232;10633	1795;3392;3393;7803;7804;7805;7806;7807;7808;7809;10557;10558;11863;11864;11865;11866;11867;14741;14742;14743;14744;14745;14746;14965;21117;21118;24689;24881;24977;24978;25499;25500;25501;28050;28051;28052;31246;31247;32478;32479;32480	1338;2494;5709;5710;5711;5712;7677;7678;8617;8618;10792;10793;10941;15331;15332;17993;18140;18204;18599;18600;18601;20452;22763;22764;23699;23700	1338;2494;5709;7678;8617;10793;10941;15331;17993;18140;18204;18600;20452;22764;23699		
P52294	P52294	4	1	1	"Importin subunit alpha-5;Importin subunit alpha-5, N-terminally processed"	KPNA1	sp|P52294|IMA5_HUMAN Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3	1	4	1	1	3	0	0	0	0	3	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	10	1.9	1.9	60.221	538	538	0.00064767	2.4407	By MS/MS					By MS/MS		7.2	0	0	0	0	7.4	0	4206600	437680	0	0	0	0	3769000	0	182900	19029	0	0	0	0	163870	0	0	0	0	0	0	363460	0	1	0	0	0	0	2	0	3				804	4592;5310;5420;9115	False;False;False;True	4707;5449;5560;9357	14832;14833;17061;17414;28628;28629;28630	10858;10859;12465;12724;20863;20864;20865	10858;12465;12724;20864		
P52298	P52298	1	1	1	Nuclear cap-binding protein subunit 2	NCBP2	sp|P52298|NCBP2_HUMAN Nuclear cap-binding protein subunit 2 OS=Homo sapiens OX=9606 GN=NCBP2 PE=1 SV=1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	7.1	7.1	7.1	18.001	156	156	0.00068776	3.1534						By MS/MS		0	0	0	0	0	7.1	0	1042100	0	0	0	0	0	1042100	0	94735	0	0	0	0	0	94735	0	0	0	0	0	0	157640	0	0	0	0	0	0	1	0	1				805	9338	TRUE	9587	29303	21358	21358		
P52306	P52306	7	7	7	Rap1 GTPase-GDP dissociation stimulator 1	RAP1GDS1	sp|P52306|GDS1_HUMAN Rap1 GTPase-GDP dissociation stimulator 1 OS=Homo sapiens OX=9606 GN=RAP1GDS1 PE=1 SV=3	1	7	7	7	2	0	0	0	1	7	0	2	0	0	0	1	7	0	2	0	0	0	1	7	0	14	14	14	66.316	607	607	0	23.588	By MS/MS				By matching	By MS/MS		5.8	0	0	0	2.8	14	0	11219000	278040	0	0	0	55067	10886000	0	287660	7129.2	0	0	0	1412	279120	0	387970	0	0	0	0	1536800	0	2	0	0	0	0	7	0	9				806	674;4388;7187;7255;9268;9993;10916	True;True;True;True;True;True;True	700;4501;7371;7440;9514;10260;11206	2239;14188;14189;23189;23449;29078;29079;29080;31321;34283	1659;10378;10379;16853;17057;21188;21189;22821;25032	1659;10379;16853;17057;21189;22821;25032		
P52434	P52434	2	2	2	"DNA-directed RNA polymerases I, II, and III subunit RPABC3"	POLR2H	"sp|P52434|RPAB3_HUMAN DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Homo sapiens OX=9606 GN=POLR2H PE=1 SV=4"	1	2	2	2	0	0	0	0	0	2	1	0	0	0	0	0	2	1	0	0	0	0	0	2	1	19.3	19.3	19.3	17.143	150	150	0	8.2038						By MS/MS	By matching	0	0	0	0	0	19.3	10.7	2337200	0	0	0	0	0	2292500	44730	233720	0	0	0	0	0	229250	4473	0	0	0	0	0	346780	0	0	0	0	0	0	2	0	2				807	4595;6848	True;True	4710;7027	14837;22041;22042	10863;16027	10863;16027		
P52565	P52565	8	8	8	Rho GDP-dissociation inhibitor 1	ARHGDIA	sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens OX=9606 GN=ARHGDIA PE=1 SV=3	1	8	8	8	7	0	5	2	4	6	3	7	0	5	2	4	6	3	7	0	5	2	4	6	3	51	51	51	23.207	204	204	0	56.269	By MS/MS		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	51	0	27.5	12.3	24	24.5	16.2	72216000	3670000	0	246210	95938	367520	67399000	437030	5555000	282310	0	18939	7379.9	28271	5184500	33618	2494600	0	3751900	3189000	2400600	6170300	4330200	7	0	1	0	2	7	3	20				808	278;9566;9567;9568;10191;10209;10958;12334	True;True;True;True;True;True;True;True	288;9822;9823;9824;10461;10480;10481;11248;12658	868;869;870;871;872;873;29960;29961;29962;29963;29964;29965;29966;29967;29968;29969;31955;31956;31957;32007;32008;32009;32010;32011;34436;38752;38753;38754	636;637;638;639;640;21824;21825;21826;21827;21828;21829;21830;23308;23347;23348;23349;25169;28426;28427;28428	637;21824;21826;21829;23308;23348;25169;28427	277	145
P52594	P52594	1	1	1	Arf-GAP domain and FG repeat-containing protein 1	AGFG1	sp|P52594|AGFG1_HUMAN Arf-GAP domain and FG repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=AGFG1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4.1	4.1	4.1	58.259	562	562	0	3.3145						By MS/MS		0	0	0	0	0	4.1	0	896820	0	0	0	0	0	896820	0	47201	0	0	0	0	0	47201	0	0	0	0	0	0	135660	0	0	0	0	0	0	1	0	1				809	9903	TRUE	10170	31063	22624	22624		
P52597	P52597	8	6	6	"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed"	HNRNPF	sp|P52597|HNRPF_HUMAN Heterogeneous nuclear ribonucleoprotein F OS=Homo sapiens OX=9606 GN=HNRNPF PE=1 SV=3	1	8	6	6	4	0	3	3	4	8	2	2	0	1	1	2	6	0	2	0	1	1	2	6	0	26.7	20.2	20.2	45.671	415	415	0	37.642	By MS/MS		By matching	By matching	By matching	By MS/MS	By matching	14.5	0	10.4	8.2	14.5	26.7	6.5	15298000	1857100	0	35887	27086	123010	13255000	0	665150	80742	0	1560.3	1177.7	5348.4	576320	0	2342300	0	0	0	629160	1411300	0	2	0	0	0	0	7	0	9				810	1058;3047;3741;4349;5219;9212;11301;12264	False;True;True;True;True;True;False;True	1091;3127;3842;4460;5355;9458;11596;12586	3540;3541;3542;3543;3544;3545;9959;12232;14063;14064;14065;14066;16777;16778;16779;28913;28914;35543;35544;35545;35546;35547;35548;38527	2600;2601;2602;7245;7246;8867;10284;10285;12259;12260;21066;26010;26011;26012;26013;26014;26015;26016;28255	2601;7245;8867;10285;12260;21066;26012;28255		
