Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
REV__sp|Q13573|SNW1_HUMAN	REV__sp|Q13573|SNW1_HUMAN	2	2	2	sp|Q13573|SNW1_HUMAN SNW domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SNW1 PE=1 SV=1	1	2	2	2	0	0	0	61.494	536	536	0.58476	-0.046864	37409	3302.5	2107.9	0	683.86	0	1133.8	0	505.22	0	0	37409	3302.5	2107.9	0	683.86	0	1133.8	0	505.22	0	0	2	2	1	0	1	0	1	0	1	0	0	8230400	2		+		514	1370;3294	True;True	1386;3348	3576;8409	3590;8453	3590;8453				
REV__sp|Q13586|STIM1_HUMAN	REV__sp|Q13586|STIM1_HUMAN	1	1	1	sp|Q13586|STIM1_HUMAN Stromal interaction molecule 1 OS=Homo sapiens OX=9606 GN=STIM1 PE=1 SV=3	1	1	1	1	0	0	0	77.422	685	685	0.55196	0.16664	116720	70518	8435.6	6128.3	2544.6	2361.9	2213.6	1824.3	2418.8	2373.5	0	116720	70518	8435.6	6128.3	2544.6	2361.9	2213.6	1824.3	2418.8	2373.5	0	2	2	2	2	2	2	2	2	2	2	0	4370900	2		+		515	281	True	282	736;737	738;739	739				
REV__sp|Q13606|OR5I1_HUMAN	REV__sp|Q13606|OR5I1_HUMAN	1	1	1	sp|Q13606|OR5I1_HUMAN Olfactory receptor 5I1 OS=Homo sapiens OX=9606 GN=OR5I1 PE=2 SV=1	1	1	1	1	0	0	0	36.048	314	314	0.35312	0.53675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+		516	5979	True	6064	14592	14667	14667				
REV__sp|Q13621|S12A1_HUMAN	REV__sp|Q13621|S12A1_HUMAN	1	1	1	sp|Q13621|S12A1_HUMAN Solute carrier family 12 member 1 OS=Homo sapiens OX=9606 GN=SLC12A1 PE=1 SV=2	1	1	1	1	0	0	0	121.45	1099	1099	0.55915	0.16664	6498.3	3830.1	583.74	0	0	679.6	0	246.15	364.18	306.44	0	6498.3	3830.1	583.74	0	0	679.6	0	246.15	364.18	306.44	0	1	1	1	0	0	1	0	1	1	1	0	4402300	1		+		517	2177	True	2211	5642	5677	5677				
REV__sp|Q13635|PTC1_HUMAN	REV__sp|Q13635|PTC1_HUMAN	2	2	2	sp|Q13635|PTC1_HUMAN Protein patched homolog 1 OS=Homo sapiens OX=9606 GN=PTCH1 PE=1 SV=2	1	2	2	2	0	0	0	160.54	1447	1447	0.16857	0.76356	470170	409950	39682	29257	8454.5	10475	10070	11417	11296	10585	642.92	470170	409950	39682	29257	8454.5	10475	10070	11417	11296	10585	642.92	2	2	2	2	2	2	2	2	2	2	2	80973000	2		+		518	3711;5050	True;True	3767;5128	9373;12385	9419;12445	9419;12445				
REV__sp|Q13829|BACD2_HUMAN	REV__sp|Q13829|BACD2_HUMAN	1	1	1	sp|Q13829|BACD2_HUMAN BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 OS=Homo sapiens OX=9606 GN=TNFAIP1 PE=1 SV=1	1	1	1	1	0	0	0	36.204	316	316	0.51884	0.19724	86790	94130	5588.9	5232.5	1899.8	2926.1	2695.9	2930.5	1834.7	2863.7	0	86790	94130	5588.9	5232.5	1899.8	2926.1	2695.9	2930.5	1834.7	2863.7	0	2	2	2	2	2	2	2	2	2	2	0	6419000	2		+		519	6624	True	6716	16158;16159	16236;16237	16236				
REV__sp|Q13936|CAC1C_HUMAN	REV__sp|Q13936|CAC1C_HUMAN	1	1	1	sp|Q13936|CAC1C_HUMAN Voltage-dependent L-type calcium channel subunit alpha-1C OS=Homo sapiens OX=9606 GN=CACNA1C PE=1 SV=4	1	1	1	1	0	0	0	248.97	2221	2221	0.48393	0.21684	313.91	813.12	0	0	0	0	0	0	0	0	0	313.91	813.12	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2703500	1		+		520	4825	True	4901	11943	12001	12001				
REV__sp|Q14019|COTL1_HUMAN	REV__sp|Q14019|COTL1_HUMAN	1	1	1	sp|Q14019|COTL1_HUMAN Coactosin-like protein OS=Homo sapiens OX=9606 GN=COTL1 PE=1 SV=3	1	1	1	1	0	0	0	15.945	142	142	0.17949	0.75043	18428	15066	1059.1	1121.5	0	338.93	0	0	293.29	401.9	0	18428	15066	1059.1	1121.5	0	338.93	0	0	293.29	401.9	0	1	1	1	1	0	1	0	0	1	1	0	2080600	1		+		521	1921	True	1949	4978	5008	5008				
REV__sp|Q14028|CNGB1_HUMAN	REV__sp|Q14028|CNGB1_HUMAN	1	1	1	sp|Q14028|CNGB1_HUMAN Cyclic nucleotide-gated cation channel beta-1 OS=Homo sapiens OX=9606 GN=CNGB1 PE=1 SV=2	1	1	1	1	0	0	0	139.68	1251	1251	0.5559	0.16664	29314	21715	2434.4	1453.8	489.47	491.95	719.05	342.47	801.79	513.81	0	29314	21715	2434.4	1453.8	489.47	491.95	719.05	342.47	801.79	513.81	0	1	1	1	1	1	1	1	1	1	1	0	15088000	1		+		522	523	True	526	1339	1345	1345				
REV__sp|Q14055|CO9A2_HUMAN;REV__sp|P02461|CO3A1_HUMAN;REV__CON__P04258	REV__sp|Q14055|CO9A2_HUMAN;REV__sp|P02461|CO3A1_HUMAN;REV__CON__P04258	2;1;1	2;1;1	2;1;1	sp|Q14055|CO9A2_HUMAN Collagen alpha-2(IX) chain OS=Homo sapiens OX=9606 GN=COL9A2 PE=1 SV=2;sp|P02461|CO3A1_HUMAN Collagen alpha-1(III) chain OS=Homo sapiens OX=9606 GN=COL3A1 PE=1 SV=4;	3	2	2	2	0	0	0	65.13	689	689;1466;1466	0.41655	0.33329	49134	65847	4838.8	4736.5	1012	641.32	1478.5	887.99	526.03	1232	0	49134	65847	4838.8	4736.5	1012	641.32	1478.5	887.99	526.03	1232	0	3	3	3	3	2	2	3	2	1	2	0	5504300	3		+	+	523	2612;2614	True;True	2652;2654	6722;6723;6725	6759;6760;6762	6759;6762				
REV__sp|Q14119|VEZF1_HUMAN	REV__sp|Q14119|VEZF1_HUMAN	1	1	1	sp|Q14119|VEZF1_HUMAN Vascular endothelial zinc finger 1 OS=Homo sapiens OX=9606 GN=VEZF1 PE=1 SV=2	1	1	1	1	0	0	0	56.931	521	521	0.24977	0.67983	5980.2	8228.1	644.71	841.41	0	484.61	0	521.25	0	0	0	5980.2	8228.1	644.71	841.41	0	484.61	0	521.25	0	0	0	1	1	1	1	0	1	0	1	0	0	0	2863500	1		+		524	1233	True	1243	3186	3199	3199				
REV__sp|Q14142|TRI14_HUMAN	REV__sp|Q14142|TRI14_HUMAN	2	2	2	sp|Q14142|TRI14_HUMAN Tripartite motif-containing protein 14 OS=Homo sapiens OX=9606 GN=TRIM14 PE=1 SV=2	1	2	2	2	0	0	0	49.772	442	442	0.47292	0.22351	90682	103870	6157	7427.8	1577.2	2759	1805.7	3304.5	1551.1	3040.9	0	90682	103870	6157	7427.8	1577.2	2759	1805.7	3304.5	1551.1	3040.9	0	3	3	3	3	2	2	2	2	2	2	0	15770000	3		+		525	3607;3620	True;True	3663;3676	9170;9171;9200	9216;9217;9246	9217;9246				
REV__sp|Q14152|EIF3A_HUMAN	REV__sp|Q14152|EIF3A_HUMAN	1	1	1	sp|Q14152|EIF3A_HUMAN Eukaryotic translation initiation factor 3 subunit A OS=Homo sapiens OX=9606 GN=EIF3A PE=1 SV=1	1	1	1	1	0	0	0	166.57	1382	1382	0.37103	0.44154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		526	1234	True	1244	3187;3188;3189	3200;3201;3202	3201				
REV__sp|Q14153|FA53B_HUMAN	REV__sp|Q14153|FA53B_HUMAN	1	1	1	sp|Q14153|FA53B_HUMAN Protein FAM53B OS=Homo sapiens OX=9606 GN=FAM53B PE=1 SV=2	1	1	1	1	0	0	0	45.768	422	422	0.45998	0.23778	3935.7	2373.6	518.39	0	0	0	0	0	0	0	0	3935.7	2373.6	518.39	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	4414600	1		+		527	4648	True	4725	11585	11643	11643				
REV__sp|Q14155|ARHG7_HUMAN	REV__sp|Q14155|ARHG7_HUMAN	1	1	1	sp|Q14155|ARHG7_HUMAN Rho guanine nucleotide exchange factor 7 OS=Homo sapiens OX=9606 GN=ARHGEF7 PE=1 SV=2	1	1	1	1	0	0	0	90.011	803	803	0.46667	0.23323	4352.2	2236.2	345.68	0	0	0	0	0	0	0	0	4352.2	2236.2	345.68	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	2315100	1		+		528	1629	True	1649	4250	4279	4279				
REV__sp|Q14160|SCRIB_HUMAN	REV__sp|Q14160|SCRIB_HUMAN	2	2	2	sp|Q14160|SCRIB_HUMAN Protein scribble homolog OS=Homo sapiens OX=9606 GN=SCRIB PE=1 SV=4	1	2	2	2	0	0	0	174.88	1630	1630	0.041147	1.0673	104890	54235	7251.3	3990.2	3885.3	3406.3	3460.1	3215.1	4066.5	3275.3	0	104890	54235	7251.3	3990.2	3885.3	3406.3	3460.1	3215.1	4066.5	3275.3	0	3	3	3	3	3	2	2	2	2	2	0	14150000	4		+		529	3876;5384	True;True	3935;5469	9775;13151;13152;13153	9824;13221;13222;13223	9824;13223				
REV__sp|Q14195|DPYL3_HUMAN	REV__sp|Q14195|DPYL3_HUMAN	1	1	1	sp|Q14195|DPYL3_HUMAN Dihydropyrimidinase-related protein 3 OS=Homo sapiens OX=9606 GN=DPYSL3 PE=1 SV=1	1	1	1	1	0	0	0	61.963	570	570	0.38768	0.4078	95754	94598	6553.5	6138.8	0	434.3	0	836.81	522.93	0	0	95754	94598	6553.5	6138.8	0	434.3	0	836.81	522.93	0	0	4	4	3	4	0	1	0	1	1	0	0	71966000	4		+		530	1327	True	1339	3449;3450;3451;3452	3463;3464;3465;3466	3465				
REV__sp|Q14203|DCTN1_HUMAN	REV__sp|Q14203|DCTN1_HUMAN	1	1	1	sp|Q14203|DCTN1_HUMAN Dynactin subunit 1 OS=Homo sapiens OX=9606 GN=DCTN1 PE=1 SV=3	1	1	1	1	0	0	0	141.69	1278	1278	0.6015	-0.11442	37632	35645	2887.3	2560.1	1650.7	2974.4	1263.5	3474.5	1270.5	2965.3	0	37632	35645	2887.3	2560.1	1650.7	2974.4	1263.5	3474.5	1270.5	2965.3	0	1	1	1	1	1	1	1	1	1	1	0	1366000	1		+		531	6320	True	6410	15457	15534	15534				
REV__sp|Q14204|DYHC1_HUMAN	REV__sp|Q14204|DYHC1_HUMAN	1	1	1	sp|Q14204|DYHC1_HUMAN Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens OX=9606 GN=DYNC1H1 PE=1 SV=5	1	1	1	1	0	0	0	532.4	4646	4646	0.58358	-0.043282	11148	11330	831.16	990.01	335.23	356.77	0	0	299.04	389.44	0	11148	11330	831.16	990.01	335.23	356.77	0	0	299.04	389.44	0	1	1	1	1	1	1	0	0	1	1	0	2275900	1		+		532	3594	True	3649	9142	9188	9188				
REV__sp|Q14241|ELOA1_HUMAN	REV__sp|Q14241|ELOA1_HUMAN	1	1	1	sp|Q14241|ELOA1_HUMAN Elongin-A OS=Homo sapiens OX=9606 GN=ELOA PE=1 SV=2	1	1	1	1	0	0	0	89.908	798	798	0.29931	0.62998	16475	11642	3476.6	1417.2	0	253.23	0	0	0	0	0	16475	11642	3476.6	1417.2	0	253.23	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	4414100	1		+		533	1978	True	2009	5145	5175	5175				
REV__sp|Q14247|SRC8_HUMAN	REV__sp|Q14247|SRC8_HUMAN	1	1	1	sp|Q14247|SRC8_HUMAN Src substrate cortactin OS=Homo sapiens OX=9606 GN=CTTN PE=1 SV=2	1	1	1	1	0	0	0	61.585	550	550	0.32598	0.5937	1996.4	1489.1	0	217.83	0	0	0	347.34	0	0	0	1996.4	1489.1	0	217.83	0	0	0	347.34	0	0	0	1	1	0	1	0	0	0	1	0	0	0	3339100	1		+		534	2048	True	2082	5315	5345	5345				
REV__sp|Q14416|GRM2_HUMAN	REV__sp|Q14416|GRM2_HUMAN	1	1	1	sp|Q14416|GRM2_HUMAN Metabotropic glutamate receptor 2 OS=Homo sapiens OX=9606 GN=GRM2 PE=1 SV=2	1	1	1	1	0	0	0	95.567	872	872	0.2333	0.69016	59852	33302	3397.1	1981	2466	1601.8	1603.1	2587.1	2111.3	1420.1	0	59852	33302	3397.1	1981	2466	1601.8	1603.1	2587.1	2111.3	1420.1	0	1	1	1	1	1	1	1	1	1	1	0	4399500	1		+		535	706	True	708	1808	1817	1817				
REV__sp|Q14527|HLTF_HUMAN	REV__sp|Q14527|HLTF_HUMAN	1	1	1	sp|Q14527|HLTF_HUMAN Helicase-like transcription factor OS=Homo sapiens OX=9606 GN=HLTF PE=1 SV=2	1	1	1	1	0	0	0	113.93	1009	1009	0.51373	0.19724	13965	35814	2694	4084.5	335.32	836.37	463.48	403.23	292.01	389.72	0	13965	35814	2694	4084.5	335.32	836.37	463.48	403.23	292.01	389.72	0	1	1	1	1	1	1	1	1	1	1	0	1824000	1		+		536	2746	True	2787	7039	7076	7076				
REV__sp|Q14587|ZN268_HUMAN	REV__sp|Q14587|ZN268_HUMAN	1	1	1	sp|Q14587|ZN268_HUMAN Zinc finger protein 268 OS=Homo sapiens OX=9606 GN=ZNF268 PE=1 SV=2	1	1	1	1	0	0	0	108.37	947	947	0.45188	0.26061	17294	31774	799.17	1338.7	0	0	0	0	0	0	0	17294	31774	799.17	1338.7	0	0	0	0	0	0	0	3	3	2	2	0	0	0	0	0	0	0	5608600	3		+		537	5786	True	5870	14121;14122;14123	14191;14192;14193	14191				
REV__sp|Q14596|NBR1_HUMAN	REV__sp|Q14596|NBR1_HUMAN	1	1	1	sp|Q14596|NBR1_HUMAN Next to BRCA1 gene 1 protein OS=Homo sapiens OX=9606 GN=NBR1 PE=1 SV=3	1	1	1	1	0	0	0	107.41	966	966	0.36118	0.52146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+		538	4009	True	4069	10097	10151	10151				
REV__sp|Q14643|ITPR1_HUMAN	REV__sp|Q14643|ITPR1_HUMAN	2	2	2	sp|Q14643|ITPR1_HUMAN Inositol 1,4,5-trisphosphate receptor type 1 OS=Homo sapiens OX=9606 GN=ITPR1 PE=1 SV=3	1	2	2	2	0	0	0	313.93	2758	2758	0.017687	1.3987	11446	1460.9	829.81	0	0	0	235.59	0	298.02	0	0	11446	1460.9	829.81	0	0	0	235.59	0	298.02	0	0	1	1	1	0	0	0	1	0	1	0	0	2092200	1		+		539	384;5315	True;True	386;5398	969;13000;13001	974;13062;13063	974;13063				
REV__sp|Q14669|TRIPC_HUMAN	REV__sp|Q14669|TRIPC_HUMAN	1	1	1	sp|Q14669|TRIPC_HUMAN E3 ubiquitin-protein ligase TRIP12 OS=Homo sapiens OX=9606 GN=TRIP12 PE=1 SV=1	1	1	1	1	0	0	0	220.43	1992	1992	0.53036	0.16923	1181900	1142400	81015	87341	29563	41555	30423	49655	37113	42890	0	1181900	1142400	81015	87341	29563	41555	30423	49655	37113	42890	0	3	3	3	3	3	3	3	3	3	3	0	56378000	3		+		540	2406	True	2446	6214;6215;6216	6251;6252;6253	6251				
REV__sp|Q14674|ESPL1_HUMAN	REV__sp|Q14674|ESPL1_HUMAN	2	2	2	sp|Q14674|ESPL1_HUMAN Separin OS=Homo sapiens OX=9606 GN=ESPL1 PE=1 SV=3	1	2	2	2	0	0	0	233.17	2120	2120	0.054697	0.96171	385550	194960	27512	12426	12540	9093.1	11597	9058.7	11399	9071.9	199.61	385550	194960	27512	12426	12540	9093.1	11597	9058.7	11399	9071.9	199.61	4	4	4	4	4	4	4	4	4	4	1	38334000	4		+		541	698;927	True;True	700;931	1790;1791;1792;2364	1799;1800;1801;2375	1801;2375				
REV__sp|Q14690|RRP5_HUMAN	REV__sp|Q14690|RRP5_HUMAN	1	1	1	sp|Q14690|RRP5_HUMAN Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3	1	1	1	1	0	0	0	208.7	1871	1871	0.55819	0.16664	40768	23517	2490.3	1649	808.55	580.31	811.9	715.3	1011.1	588.37	0	40768	23517	2490.3	1649	808.55	580.31	811.9	715.3	1011.1	588.37	0	1	1	1	1	1	1	1	1	1	1	0	916330	1		+		542	496	True	498	1267	1273	1273				
REV__sp|Q14766|LTBP1_HUMAN	REV__sp|Q14766|LTBP1_HUMAN	1	1	1	sp|Q14766|LTBP1_HUMAN Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens OX=9606 GN=LTBP1 PE=1 SV=4	1	1	1	1	0	0	0	186.79	1721	1721	0.45054	0.26172	9461.9	22155	656.34	849.4	0	457.54	0	0	0	0	0	9461.9	22155	656.34	849.4	0	457.54	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	5341200	1		+		543	1421	True	1437	3720	3735	3735				
REV__sp|Q14807|KIF22_HUMAN	REV__sp|Q14807|KIF22_HUMAN	1	1	1	sp|Q14807|KIF22_HUMAN Kinesin-like protein KIF22 OS=Homo sapiens OX=9606 GN=KIF22 PE=1 SV=5	1	1	1	1	0	0	0	73.261	665	665	0.59431	-0.11442	70862	30146	5923.9	2455	2372.9	618.85	2247.8	1225.8	1888.1	1224.3	0	70862	30146	5923.9	2455	2372.9	618.85	2247.8	1225.8	1888.1	1224.3	0	3	3	3	3	3	2	3	2	3	3	0	4274100	3		+		544	6302	True	6392	15419;15420;15421	15496;15497;15498	15496				
REV__sp|Q14978|NOLC1_HUMAN	REV__sp|Q14978|NOLC1_HUMAN	1	1	1	sp|Q14978|NOLC1_HUMAN Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2	1	1	1	1	0	0	0	73.602	699	699	0.21159	0.70445	77968	9838.2	6704.8	716.42	1586.5	258.43	1711.9	226.07	1651.2	326.01	0	77968	9838.2	6704.8	716.42	1586.5	258.43	1711.9	226.07	1651.2	326.01	0	2	2	2	2	2	1	2	1	2	1	0	5183100	2		+		545	3511	True	3564	8902;8903	8948;8949	8948				
REV__sp|Q14980|NUMA1_HUMAN	REV__sp|Q14980|NUMA1_HUMAN	2	2	2	sp|Q14980|NUMA1_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=2	1	2	2	2	0	0	0	238.26	2115	2115	0.092428	0.83568	102160	89358	6233.5	5869.9	2061.6	2283.6	2102.7	2361.8	2325	2170.9	0	102160	89358	6233.5	5869.9	2061.6	2283.6	2102.7	2361.8	2325	2170.9	0	2	2	1	1	1	1	1	1	1	1	0	9009400	4		+		546	475;6296	True;True	477;6386	1199;1200;1201;15409	1205;1206;1207;15486	1206;15486				
REV__sp|Q14997|PSME4_HUMAN	REV__sp|Q14997|PSME4_HUMAN	1	1	1	sp|Q14997|PSME4_HUMAN Proteasome activator complex subunit 4 OS=Homo sapiens OX=9606 GN=PSME4 PE=1 SV=2	1	1	1	1	0	0	0	211.33	1843	1843	0.10929	0.80311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1		+		547	3783	True	3840	9544	9592	9592				
REV__sp|Q149N8|SHPRH_HUMAN	REV__sp|Q149N8|SHPRH_HUMAN	1	1	1	sp|Q149N8|SHPRH_HUMAN E3 ubiquitin-protein ligase SHPRH OS=Homo sapiens OX=9606 GN=SHPRH PE=1 SV=2	1	1	1	1	0	0	0	193.08	1683	1683	0.28021	0.65745	83862	87592	5128.7	5894.7	2063.9	2911.3	1361.3	2408.8	2132	2381.1	0	83862	87592	5128.7	5894.7	2063.9	2911.3	1361.3	2408.8	2132	2381.1	0	2	2	2	2	2	2	2	2	2	2	0	6897100	2		+		548	3203	True	3252	8170;8171	8213;8214	8214				
REV__sp|Q14CX5|MF13A_HUMAN	REV__sp|Q14CX5|MF13A_HUMAN	1	1	1	sp|Q14CX5|MF13A_HUMAN Transmembrane protein 180 OS=Homo sapiens OX=9606 GN=MFSD13A PE=1 SV=1	1	1	1	1	0	0	0	57.38	517	517	0.27486	0.66621	4246.6	5235.2	0	601.17	0	0	0	0	0	0	0	4246.6	5235.2	0	601.17	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1761900	1		+		549	713	True	715	1825	1834	1834				
REV__sp|Q14CZ8|HECAM_HUMAN	REV__sp|Q14CZ8|HECAM_HUMAN	1	1	1	sp|Q14CZ8|HECAM_HUMAN Hepatocyte cell adhesion molecule OS=Homo sapiens OX=9606 GN=HEPACAM PE=1 SV=1	1	1	1	1	0	0	0	46.026	416	416	0.59687	-0.11442	185360	119750	13996	8159.8	3603.8	3482.8	4845.3	4197.8	4700.5	4111.4	0	185360	119750	13996	8159.8	3603.8	3482.8	4845.3	4197.8	4700.5	4111.4	0	1	1	1	1	1	1	1	1	1	1	0	5351900	1		+		550	699	True	701	1793	1802	1802				
REV__sp|Q14D04|MELT_HUMAN	REV__sp|Q14D04|MELT_HUMAN	1	1	1	sp|Q14D04|MELT_HUMAN Ventricular zone-expressed PH domain-containing protein homolog 1 OS=Homo sapiens OX=9606 GN=VEPH1 PE=1 SV=1	1	1	1	1	0	0	0	94.744	833	833	0.31378	0.62161	12676	2132.9	716.72	297.03	279.97	0	0	0	408.98	0	0	12676	2132.9	716.72	297.03	279.97	0	0	0	408.98	0	0	1	1	1	1	1	0	0	0	1	0	0	2617500	1		+		551	3452	True	3505	8772	8818	8818				
REV__sp|Q15058|KIF14_HUMAN	REV__sp|Q15058|KIF14_HUMAN	1	1	1	sp|Q15058|KIF14_HUMAN Kinesin-like protein KIF14 OS=Homo sapiens OX=9606 GN=KIF14 PE=1 SV=1	1	1	1	1	0	0	0	186.49	1648	1648	0.1925	0.73778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		552	4918	True	4994	12140;12141	12198;12199	12199				
REV__sp|Q15120|PDK3_HUMAN	REV__sp|Q15120|PDK3_HUMAN	1	1	1	sp|Q15120|PDK3_HUMAN [Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Homo sapiens OX=9606 GN=PDK3 PE=1 SV=1	1	1	1	1	0	0	0	46.938	406	406	0.36672	0.46866	139080	82263	7159	5178.9	4669.3	3959.1	4323.2	3499.4	4122	3531.2	0	139080	82263	7159	5178.9	4669.3	3959.1	4323.2	3499.4	4122	3531.2	0	3	3	3	3	3	3	3	3	3	3	0	8711500	3		+		553	5853	True	5936	14249;14250;14251	14319;14320;14321	14321				
REV__sp|Q15124|PGM5_HUMAN	REV__sp|Q15124|PGM5_HUMAN	1	1	1	sp|Q15124|PGM5_HUMAN Phosphoglucomutase-like protein 5 OS=Homo sapiens OX=9606 GN=PGM5 PE=1 SV=2	1	1	1	1	0	0	0	62.224	567	567	0.58548	-0.050205	18216	5096	849.29	377.22	450.25	0	604.5	425.25	874.56	0	0	18216	5096	849.29	377.22	450.25	0	604.5	425.25	874.56	0	0	1	1	1	1	1	0	1	1	1	0	0	4741600	1		+		554	2016	True	2047	5235	5265	5265				
REV__sp|Q15149|PLEC_HUMAN	REV__sp|Q15149|PLEC_HUMAN	1	1	1	sp|Q15149|PLEC_HUMAN Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3	1	1	1	1	0	0	0	531.78	4684	4684	0.12787	0.80311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		+		555	391	True	393	983;984	988;989	988				
REV__sp|Q15262|PTPRK_HUMAN	REV__sp|Q15262|PTPRK_HUMAN	1	1	1	sp|Q15262|PTPRK_HUMAN Receptor-type tyrosine-protein phosphatase kappa OS=Homo sapiens OX=9606 GN=PTPRK PE=1 SV=2	1	1	1	1	0	0	0	162.1	1439	1439	0.53656	0.16923	77824	75620	5563.1	5922	2445.4	2050.3	1842.5	2717.9	2018.3	2710.7	0	77824	75620	5563.1	5922	2445.4	2050.3	1842.5	2717.9	2018.3	2710.7	0	2	2	2	2	2	2	2	2	2	2	0	3835900	2		+		556	3716	True	3772	9379;9380	9425;9426	9425				
REV__sp|Q15269|PWP2_HUMAN	REV__sp|Q15269|PWP2_HUMAN	1	1	1	sp|Q15269|PWP2_HUMAN Periodic tryptophan protein 2 homolog OS=Homo sapiens OX=9606 GN=PWP2 PE=2 SV=2	1	1	1	1	0	0	0	102.45	919	919	0.62048	-0.90167	36504	66304	2771.9	4904	966.75	2142.7	827.66	1900.8	707.05	1934.5	0	36504	66304	2771.9	4904	966.75	2142.7	827.66	1900.8	707.05	1934.5	0	2	2	2	2	2	2	2	2	2	2	0	2864400	2		+		557	3846	True	3905	9703;9704	9752;9753	9753				
REV__sp|Q15326|ZMY11_HUMAN	REV__sp|Q15326|ZMY11_HUMAN	1	1	1	sp|Q15326|ZMY11_HUMAN Zinc finger MYND domain-containing protein 11 OS=Homo sapiens OX=9606 GN=ZMYND11 PE=1 SV=2	1	1	1	1	0	0	0	70.962	602	602	0.49971	0.19869	11491	10392	938.9	897.71	0	624.11	0	609.2	0	0	0	11491	10392	938.9	897.71	0	624.11	0	609.2	0	0	0	1	1	1	1	0	1	0	1	0	0	0	1687400	1		+		558	2130	True	2164	5522	5556	5556				
REV__sp|Q15388|TOM20_HUMAN	REV__sp|Q15388|TOM20_HUMAN	1	1	1	sp|Q15388|TOM20_HUMAN Mitochondrial import receptor subunit TOM20 homolog OS=Homo sapiens OX=9606 GN=TOMM20 PE=1 SV=1	1	1	1	1	0	0	0	16.298	145	145	0.47055	0.22782	4431.2	3836.8	372.22	581.44	237.46	0	0	0	0	0	0	4431.2	3836.8	372.22	581.44	237.46	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1447800	1		+		559	2109	True	2143	5466	5500	5500				
